id,nome,cpf,entrada,saida,setor,foto,visitante_id,created_at,updated_at,deleted_at
49,"Fredericka Knox",584.157.874-57,"2025-03-25 17:08:12","2025-05-13 11:25:30",Ceará-Mirim,null,49,NULL,NULL,NULL
50,"Savannah Gallagher",196.645.753-84,"2025-03-12 12:46:17","2025-03-27 22:40:28","São Gonçalo do Amarante",null,50,NULL,NULL,NULL
51,"Vaughan Patterson",519.145.913-50,"2023-12-13 04:44:52","2025-04-17 05:14:57",Natal,null,51,NULL,NULL,NULL
52,"Allen Hansen",387.630.570-33,"2024-03-16 02:27:45","2024-07-31 07:43:39",Natal,null,52,NULL,NULL,NULL
53,"Cyrus Robertson",334.364.573-43,"2025-01-07 08:30:41","2024-08-22 17:08:11","São Gonçalo do Amarante",null,53,NULL,NULL,NULL
54,"Scarlet Pace",423.143.689-15,"2025-02-13 12:52:57","2024-06-15 11:37:06",Extremoz,null,54,NULL,NULL,NULL
55,"TaShya Giles",131.916.274-46,"2024-07-26 10:11:40","2025-02-26 15:54:47",Ceará-Mirim,null,55,NULL,NULL,NULL
56,"Dominique Adkins",778.473.454-40,"2025-06-29 07:43:23","2024-11-07 20:06:07","São Gonçalo do Amarante",null,56,NULL,NULL,NULL
57,"Oprah Mercer",545.190.514-86,"2025-07-11 12:59:37","2024-11-18 18:08:52",Macaíba,null,57,NULL,NULL,NULL
58,"Maile Meyers",776.443.511-20,"2025-03-21 11:56:42","2025-07-04 00:14:37",Parnamirim,null,58,NULL,NULL,NULL
59,"Mia Stout",546.104.446-23,"2023-11-02 10:24:59","2024-03-28 18:45:37",Extremoz,null,59,NULL,NULL,NULL
60,"Deanna Mason",653.083.774-02,"2023-11-08 18:45:11","2023-08-16 22:20:09",Ceará-Mirim,null,60,NULL,NULL,NULL
61,"Jael Vega",720.688.927-34,"2023-12-16 08:14:58","2025-02-04 10:33:57",Extremoz,null,61,NULL,NULL,NULL
62,"Kuame Curry",441.772.762-79,"2024-09-18 16:04:01","2024-09-28 07:20:55",Extremoz,null,62,NULL,NULL,NULL
63,"Rooney Carter",735.323.597-79,"2024-07-30 15:38:21","2024-09-19 05:02:26",Ceará-Mirim,null,63,NULL,NULL,NULL
64,"Hedy Roman",172.884.481-98,"2024-02-25 14:47:33","2024-07-31 08:23:47",Ceará-Mirim,null,64,NULL,NULL,NULL
65,"Jessica Morales",114.174.856-33,"2025-05-24 10:31:37","2024-08-22 18:25:53",Natal,null,65,NULL,NULL,NULL
66,"Ina Carrillo",681.177.141-14,"2025-04-15 05:49:10","2025-05-11 03:43:36",Macaíba,null,66,NULL,NULL,NULL
67,"Irma Sawyer",917.585.879-45,"2025-03-13 19:12:12","2023-08-30 21:37:39",Parnamirim,null,67,NULL,NULL,NULL
68,"Alexander Maynard",336.413.457-86,"2025-03-18 13:17:46","2024-06-11 12:25:29","São Gonçalo do Amarante",null,68,NULL,NULL,NULL
69,"Chester Elliott",712.614.527-77,"2023-10-20 07:50:27","2024-09-15 23:41:13",Extremoz,null,69,NULL,NULL,NULL
70,"Xenos Beard",272.608.512-52,"2023-10-29 22:52:34","2024-12-29 13:54:28",Parnamirim,null,70,NULL,NULL,NULL
71,"Todd Griffith",781.410.430-71,"2023-08-08 04:36:58","2025-03-15 02:05:18",Natal,null,71,NULL,NULL,NULL
72,"Aiko White",348.149.861-35,"2024-06-15 11:36:09","2025-06-25 11:26:46","São Gonçalo do Amarante",null,72,NULL,NULL,NULL
73,"Avram Craft",271.450.126-82,"2023-12-19 16:11:27","2023-12-05 08:15:33","São Gonçalo do Amarante",null,73,NULL,NULL,NULL
74,"Aimee Gomez",483.209.298-97,"2023-09-10 03:58:50","2023-11-22 00:52:05",Macaíba,null,74,NULL,NULL,NULL
75,"Jacqueline Manning",177.534.899-64,"2025-03-05 01:13:11","2024-03-12 21:26:47",Natal,null,75,NULL,NULL,NULL
76,"Craig Figueroa",038.222.340-40,"2024-12-09 09:33:24","2024-06-22 03:32:04",Macaíba,null,76,NULL,NULL,NULL
77,"Jeremy Roy",117.383.934-64,"2025-01-29 03:30:27","2023-11-23 16:29:30",Macaíba,null,77,NULL,NULL,NULL
78,"Willow Sweeney",431.648.508-15,"2025-07-09 12:09:47","2023-12-14 00:57:09",Macaíba,null,78,NULL,NULL,NULL
79,"Sydnee Padilla",211.993.830-61,"2024-02-02 11:50:53","2023-10-24 09:37:15","São Gonçalo do Amarante",null,79,NULL,NULL,NULL
80,"Mia Jones",686.428.360-53,"2025-02-08 08:09:33","2025-03-05 22:58:22","São Gonçalo do Amarante",null,80,NULL,NULL,NULL
81,"Lionel Carroll",086.918.840-37,"2024-12-24 09:42:46","2023-10-04 08:23:42","São Gonçalo do Amarante",null,81,NULL,NULL,NULL
82,"Brandon Elliott",852.471.504-24,"2024-11-21 18:31:01","2024-08-07 21:42:35",Ceará-Mirim,null,82,NULL,NULL,NULL
83,"Orla Holden",687.817.756-31,"2024-12-30 01:47:24","2024-06-05 02:16:14","São Gonçalo do Amarante",null,83,NULL,NULL,NULL
84,"Avram Wooten",588.162.144-73,"2024-05-28 19:03:04","2023-08-29 11:34:30",Ceará-Mirim,null,84,NULL,NULL,NULL
85,"Julian Weber",184.738.675-07,"2025-03-04 17:32:07","2024-02-02 21:40:18",Parnamirim,null,85,NULL,NULL,NULL
86,"Kadeem Webb",314.416.042-64,"2024-08-11 13:49:10","2024-06-06 00:49:54",Ceará-Mirim,null,86,NULL,NULL,NULL
87,"Neil Gonzalez",920.462.633-39,"2024-07-20 21:37:25","2023-09-10 10:37:00",Natal,null,87,NULL,NULL,NULL
88,"Colin Cameron",815.310.731-44,"2025-06-07 00:48:54","2024-08-25 16:53:12",Ceará-Mirim,null,88,NULL,NULL,NULL
89,"Wilma Chandler",257.114.389-42,"2024-05-30 18:23:19","2024-07-18 11:33:13",Extremoz,null,89,NULL,NULL,NULL
90,"Sydney Greer",216.377.531-65,"2025-05-03 16:19:41","2023-09-17 08:06:55",Ceará-Mirim,null,90,NULL,NULL,NULL
91,"Tucker Rivas",552.635.807-16,"2024-06-30 07:32:51","2023-09-01 08:02:40",Ceará-Mirim,null,91,NULL,NULL,NULL
92,"Indira Vaughan",487.444.776-39,"2024-05-17 17:21:57","2024-10-20 19:17:02",Ceará-Mirim,null,92,NULL,NULL,NULL
93,"Armando Huffman",985.995.195-59,"2025-07-26 06:08:43","2024-04-18 23:23:53",Macaíba,null,93,NULL,NULL,NULL
94,"Nasim Fowler",769.508.179-93,"2024-01-05 21:05:20","2024-02-23 09:05:17","São Gonçalo do Amarante",null,94,NULL,NULL,NULL
95,"Martin Mathis",757.616.834-54,"2024-07-02 09:31:06","2025-04-07 14:48:17",Parnamirim,null,95,NULL,NULL,NULL
96,"Todd Lee",910.623.857-54,"2024-12-15 08:45:03","2024-05-28 16:15:28","São Gonçalo do Amarante",null,96,NULL,NULL,NULL
97,"Petra Camacho",271.348.790-43,"2024-07-31 05:56:54","2024-03-02 05:25:12",Parnamirim,null,97,NULL,NULL,NULL
98,"Tad Wilkinson",022.617.220-84,"2024-03-13 19:22:28","2025-04-13 12:17:18",Parnamirim,null,98,NULL,NULL,NULL
99,"Tarik Ayers",971.357.430-53,"2025-04-05 19:42:29","2024-08-24 16:51:16",Parnamirim,null,99,NULL,NULL,NULL
100,"Suki Golden",451.959.438-98,"2024-08-18 15:09:56","2024-07-14 17:20:18",Natal,null,100,NULL,NULL,NULL
101,"Cassady Goodman",747.304.182-63,"2025-01-09 03:32:37","2024-04-17 02:43:42",Parnamirim,null,101,NULL,NULL,NULL
102,"Gay Blankenship",845.332.447-33,"2024-08-08 04:05:59","2025-07-14 14:26:49",Macaíba,null,102,NULL,NULL,NULL
103,"Hunter Morrison",750.142.771-05,"2024-10-21 18:20:07","2024-05-06 12:01:41",Natal,null,103,NULL,NULL,NULL
104,"Conan Mcmillan",877.140.111-24,"2023-09-30 04:13:41","2025-07-06 15:51:37",Extremoz,null,104,NULL,NULL,NULL
105,"Fritz Hodge",401.436.117-78,"2023-12-28 02:49:24","2023-09-21 20:48:14",Ceará-Mirim,null,105,NULL,NULL,NULL
106,"Lara Koch",854.928.457-16,"2024-10-06 06:06:51","2024-06-22 14:34:48",Macaíba,null,106,NULL,NULL,NULL
107,"Kessie Wall",317.768.912-81,"2025-05-21 09:16:31","2024-10-28 18:27:12",Macaíba,null,107,NULL,NULL,NULL
108,"Amery Mcguire",759.266.921-64,"2024-03-24 08:50:01","2024-10-02 09:45:18",Macaíba,null,108,NULL,NULL,NULL
109,"Harriet Donovan",465.950.060-28,"2025-05-30 20:01:26","2024-03-20 09:51:46",Natal,null,109,NULL,NULL,NULL
110,"Stephen Lowery",786.839.383-26,"2023-09-27 17:23:17","2025-02-20 22:57:24",Extremoz,null,110,NULL,NULL,NULL
111,"Flavia Lloyd",504.031.224-51,"2024-12-09 03:16:29","2024-04-02 10:05:06",Macaíba,null,111,NULL,NULL,NULL
112,"Channing Hood",478.777.679-24,"2024-05-04 05:10:55","2023-09-05 13:47:18",Parnamirim,null,112,NULL,NULL,NULL
113,"Shaeleigh Robbins",472.566.185-25,"2024-04-21 17:39:35","2024-03-15 08:52:44",Extremoz,null,113,NULL,NULL,NULL
114,"Finn Avery",718.300.285-27,"2024-10-07 10:51:15","2024-03-08 15:09:57",Macaíba,null,114,NULL,NULL,NULL
115,"Laurel Mccall",167.518.169-76,"2025-03-17 14:54:20","2024-06-17 00:27:06","São Gonçalo do Amarante",null,115,NULL,NULL,NULL
116,"Jakeem Juarez",671.751.355-45,"2023-10-04 17:12:40","2025-01-27 00:07:20",Extremoz,null,116,NULL,NULL,NULL
117,"Damian Mcintyre",884.901.155-45,"2024-05-18 13:21:25","2024-06-26 15:42:16",Extremoz,null,117,NULL,NULL,NULL
118,"Madonna Chambers",282.824.705-58,"2023-10-04 21:17:24","2023-11-07 20:17:43",Natal,null,118,NULL,NULL,NULL
119,"John Mccoy",396.273.828-63,"2023-09-30 15:45:54","2025-05-22 14:42:41",Natal,null,119,NULL,NULL,NULL
120,"Keefe Watts",358.664.466-92,"2025-05-05 17:15:33","2024-05-26 17:50:07",Ceará-Mirim,null,120,NULL,NULL,NULL
121,"Castor Mueller",435.170.726-17,"2025-02-13 23:33:14","2024-07-26 13:53:09",Ceará-Mirim,null,121,NULL,NULL,NULL
122,"Tallulah Diaz",118.535.364-51,"2023-08-30 16:51:30","2025-07-04 19:14:00",Ceará-Mirim,null,122,NULL,NULL,NULL
123,"Carolyn Atkins",144.140.974-58,"2025-02-13 15:37:52","2024-09-25 22:39:17",Natal,null,123,NULL,NULL,NULL
124,"Avram Brennan",262.314.061-98,"2024-02-09 12:46:25","2024-07-02 17:21:37",Macaíba,null,124,NULL,NULL,NULL
125,"Rowan Chan",120.956.804-31,"2023-09-15 09:44:07","2023-11-03 17:41:16",Extremoz,null,125,NULL,NULL,NULL
126,"Hector Rhodes",108.756.862-30,"2025-07-10 12:55:27","2025-04-08 16:25:16",Extremoz,null,126,NULL,NULL,NULL
127,"Hall Watson",145.311.454-37,"2025-04-25 00:23:02","2024-12-15 12:48:42",Natal,null,127,NULL,NULL,NULL
128,"Sage Mcguire",057.216.717-36,"2025-05-25 01:39:49","2023-09-28 22:17:41",Natal,null,128,NULL,NULL,NULL
129,"Jolene Ware",122.497.406-21,"2025-07-08 02:32:21","2025-06-02 14:31:26",Macaíba,null,129,NULL,NULL,NULL
130,"Jaime Barlow",624.180.576-36,"2025-01-18 05:52:22","2025-03-20 00:59:22","São Gonçalo do Amarante",null,130,NULL,NULL,NULL
131,"Stella Nicholson",633.142.930-73,"2025-01-08 14:44:58","2023-09-14 06:13:31",Parnamirim,null,131,NULL,NULL,NULL
132,"Yen Fowler",411.125.613-44,"2025-06-10 00:02:59","2024-09-07 05:31:13",Natal,null,132,NULL,NULL,NULL
133,"Mason Sloan",742.612.800-32,"2024-09-19 17:20:36","2023-11-26 14:59:44",Extremoz,null,133,NULL,NULL,NULL
134,"Leandra Fleming",355.807.076-10,"2023-10-18 00:41:32","2024-01-24 20:05:47",Extremoz,null,134,NULL,NULL,NULL
135,"Rylee Kirk",958.487.198-33,"2024-06-09 23:38:47","2024-09-15 03:36:56",Ceará-Mirim,null,135,NULL,NULL,NULL
136,"Megan Lawson",148.280.734-17,"2025-05-21 14:47:48","2024-07-27 04:58:18","São Gonçalo do Amarante",null,136,NULL,NULL,NULL
137,"Ora Barnett",277.086.278-37,"2024-05-28 16:07:03","2024-08-12 01:11:19","São Gonçalo do Amarante",null,137,NULL,NULL,NULL
138,"Cynthia Norman",942.671.464-75,"2024-07-27 15:11:59","2024-10-05 11:02:17",Ceará-Mirim,null,138,NULL,NULL,NULL
139,"Jarrod Montoya",566.896.322-25,"2025-06-19 10:07:49","2023-08-11 23:55:13",Macaíba,null,139,NULL,NULL,NULL
140,"Graham Horne",151.583.817-33,"2023-09-18 20:47:34","2024-07-18 10:49:10",Macaíba,null,140,NULL,NULL,NULL
141,"Nasim Santana",262.336.851-42,"2025-04-04 13:17:06","2023-12-04 09:52:34",Macaíba,null,141,NULL,NULL,NULL
142,"Aquila Brock",696.589.144-22,"2025-03-16 10:09:34","2025-01-08 03:32:04",Macaíba,null,142,NULL,NULL,NULL
143,"Aurora Mccullough",980.831.230-44,"2024-08-15 16:06:14","2023-11-06 01:33:41",Macaíba,null,143,NULL,NULL,NULL
144,"Kameko Bonner",071.195.173-26,"2025-03-20 18:40:33","2023-10-01 16:57:11",Ceará-Mirim,null,144,NULL,NULL,NULL
145,"Amal Cross",540.868.581-02,"2023-12-22 09:18:26","2024-01-22 14:14:41",Parnamirim,null,145,NULL,NULL,NULL
146,"Orli Mason",592.619.457-74,"2024-04-19 02:49:41","2024-07-08 10:03:05","São Gonçalo do Amarante",null,146,NULL,NULL,NULL
147,"Jack Griffin",939.669.976-19,"2024-02-12 05:04:29","2025-06-22 01:51:33",Macaíba,null,147,NULL,NULL,NULL
148,"Walker Dickson",675.622.463-53,"2023-09-05 06:00:58","2025-03-31 23:00:19",Ceará-Mirim,null,148,NULL,NULL,NULL
149,"Emily Sheppard",781.262.348-83,"2025-05-20 01:45:37","2023-09-16 15:13:11","São Gonçalo do Amarante",null,149,NULL,NULL,NULL
150,"Zelenia Downs",594.239.445-54,"2025-07-08 17:23:46","2023-11-28 12:09:47",Parnamirim,null,150,NULL,NULL,NULL
151,"Perry Whitfield",445.403.197-67,"2025-02-01 16:32:38","2024-08-24 19:11:23",Parnamirim,null,151,NULL,NULL,NULL
152,"Elizabeth Dodson",636.374.266-18,"2025-01-06 00:26:15","2024-12-08 11:39:00",Macaíba,null,152,NULL,NULL,NULL
153,"Slade Wagner",313.788.471-86,"2023-08-21 21:12:46","2024-06-23 07:45:38",Extremoz,null,153,NULL,NULL,NULL
154,"Xanthus Berry",718.418.615-88,"2025-01-02 09:30:31","2023-10-28 10:11:06",Extremoz,null,154,NULL,NULL,NULL
155,"Justin Buck",914.352.817-61,"2024-05-31 16:43:20","2024-03-01 04:08:56",Ceará-Mirim,null,155,NULL,NULL,NULL
156,"Quamar Diaz",741.783.638-18,"2024-10-18 08:14:04","2025-06-01 14:24:08",Parnamirim,null,156,NULL,NULL,NULL
157,"Zenia Parrish",527.929.712-64,"2024-05-28 20:51:24","2025-06-21 17:06:06",Natal,null,157,NULL,NULL,NULL
158,"Erich Sears",140.526.523-78,"2024-06-08 05:52:56","2024-01-12 04:05:49",Macaíba,null,158,NULL,NULL,NULL
159,"Knox Curtis",579.551.857-88,"2025-05-13 19:08:33","2024-08-28 21:48:00",Macaíba,null,159,NULL,NULL,NULL
160,"Ivy Floyd",673.366.238-65,"2023-10-16 03:46:52","2024-03-17 13:19:13",Natal,null,160,NULL,NULL,NULL
161,"Kirsten Curry",824.084.903-37,"2024-05-10 10:29:53","2024-01-02 21:17:59",Parnamirim,null,161,NULL,NULL,NULL
162,"Serina Mclean",668.275.272-88,"2024-03-06 21:18:57","2024-09-06 01:52:15",Macaíba,null,162,NULL,NULL,NULL
163,"Katelyn Small",367.535.761-53,"2024-06-28 13:12:56","2025-04-05 21:44:49",Extremoz,null,163,NULL,NULL,NULL
164,"Ivan Riggs",351.617.238-31,"2025-04-08 14:44:32","2024-07-20 10:26:19",Ceará-Mirim,null,164,NULL,NULL,NULL
165,"Xenos Shannon",791.149.274-02,"2023-10-09 09:34:19","2025-03-15 13:19:55","São Gonçalo do Amarante",null,165,NULL,NULL,NULL
166,"Wyatt Guerra",724.547.886-73,"2024-05-22 08:05:25","2024-11-18 22:04:25",Parnamirim,null,166,NULL,NULL,NULL
167,"Wilma Booker",844.432.614-71,"2024-09-21 08:30:59","2024-05-16 17:26:56",Parnamirim,null,167,NULL,NULL,NULL
168,"Wynter May",265.147.982-71,"2024-02-17 22:53:41","2025-01-13 04:01:15",Extremoz,null,168,NULL,NULL,NULL
169,"Dane Burton",623.955.604-16,"2024-01-03 08:18:01","2024-08-31 18:20:36",Ceará-Mirim,null,169,NULL,NULL,NULL
170,"Xantha Hall",439.561.776-52,"2024-09-20 00:52:08","2025-02-06 02:27:51",Parnamirim,null,170,NULL,NULL,NULL
171,"Meghan Forbes",676.842.978-64,"2025-04-11 17:23:58","2025-07-08 17:35:32","São Gonçalo do Amarante",null,171,NULL,NULL,NULL
172,"Nomlanga Shaw",882.152.487-77,"2024-08-25 16:55:14","2025-02-21 07:30:24","São Gonçalo do Amarante",null,172,NULL,NULL,NULL
173,"Craig Gomez",615.196.379-49,"2024-03-31 02:15:46","2024-09-24 03:38:44",Ceará-Mirim,null,173,NULL,NULL,NULL
174,"Emerald Quinn",564.131.515-06,"2023-12-26 06:46:50","2024-08-19 13:35:18",Parnamirim,null,174,NULL,NULL,NULL
175,"Jolie Tyler",628.363.147-75,"2024-11-28 22:32:30","2025-03-29 01:03:35",Macaíba,null,175,NULL,NULL,NULL
176,"Heidi Holcomb",153.388.308-82,"2023-12-08 05:50:06","2024-09-01 21:55:47",Ceará-Mirim,null,176,NULL,NULL,NULL
177,"Alden Oliver",141.545.172-18,"2024-10-02 13:31:39","2024-02-28 10:09:36",Extremoz,null,177,NULL,NULL,NULL
178,"Ezekiel Blanchard",829.866.447-07,"2025-04-11 14:41:31","2024-01-26 18:57:06",Extremoz,null,178,NULL,NULL,NULL
179,"Ivana Tate",696.111.365-11,"2023-11-30 03:05:55","2024-01-27 10:56:06",Ceará-Mirim,null,179,NULL,NULL,NULL
180,"Calista Britt",447.122.256-75,"2024-06-18 12:02:47","2025-07-18 13:03:33",Parnamirim,null,180,NULL,NULL,NULL
181,"Xantha Pittman",817.736.882-47,"2023-12-06 11:52:56","2024-08-04 01:15:29",Extremoz,null,181,NULL,NULL,NULL
182,"Denton Gaines",844.547.239-40,"2024-03-16 04:23:15","2023-09-16 09:15:41",Ceará-Mirim,null,182,NULL,NULL,NULL
183,"Maggie Forbes",915.153.143-45,"2024-12-15 20:25:37","2024-03-13 15:58:36","São Gonçalo do Amarante",null,183,NULL,NULL,NULL
184,"Skyler Jones",495.591.843-44,"2025-07-29 15:01:43","2023-11-25 03:15:23",Ceará-Mirim,null,184,NULL,NULL,NULL
185,"Quinlan Glenn",892.881.067-62,"2024-12-27 10:20:41","2024-08-24 15:13:12",Ceará-Mirim,null,185,NULL,NULL,NULL
186,"Breanna Keller",516.486.043-74,"2025-01-04 22:30:29","2023-11-17 10:10:42","São Gonçalo do Amarante",null,186,NULL,NULL,NULL
187,"Kylie Cherry",325.396.154-73,"2023-12-06 22:44:12","2024-06-22 11:19:59",Parnamirim,null,187,NULL,NULL,NULL
188,"Prescott Whitehead",183.283.359-58,"2024-11-12 23:03:16","2025-03-25 13:21:57",Ceará-Mirim,null,188,NULL,NULL,NULL
189,"Kirk Fowler",785.165.062-65,"2024-11-29 13:32:19","2024-06-24 17:19:19","São Gonçalo do Amarante",null,189,NULL,NULL,NULL
190,"Holmes Buck",158.263.533-73,"2023-09-09 10:32:16","2025-05-06 16:29:30",Natal,null,190,NULL,NULL,NULL
191,"Ciaran Hutchinson",342.385.432-53,"2025-02-07 10:49:15","2025-01-16 00:16:12",Macaíba,null,191,NULL,NULL,NULL
192,"Peter Lancaster",138.892.831-92,"2024-08-02 16:00:57","2025-02-14 03:18:18",Ceará-Mirim,null,192,NULL,NULL,NULL
193,"Owen Roberts",159.273.818-65,"2023-11-23 07:39:35","2024-09-05 10:34:19",Parnamirim,null,193,NULL,NULL,NULL
194,"Olympia Ross",539.756.315-42,"2024-09-01 10:28:58","2025-05-02 06:15:40","São Gonçalo do Amarante",null,194,NULL,NULL,NULL
195,"Ethan House",718.524.375-89,"2024-06-02 06:09:57","2023-08-24 10:01:56","São Gonçalo do Amarante",null,195,NULL,NULL,NULL
196,"Jaquelyn Cervantes",414.541.274-23,"2025-02-27 17:42:29","2024-02-01 09:00:11",Natal,null,196,NULL,NULL,NULL
197,"Kevyn Willis",666.216.586-74,"2023-11-03 11:28:16","2024-08-11 15:44:38",Natal,null,197,NULL,NULL,NULL
